UB,Cth,TL,TH,Rcoeff,time_median,time_p10,time_p90,severance_rate,final_R_mean,final_C_mean
5,0.86,11,2.0,0.25,6.0,6.0,6.0,0.0,22.600000000000012,1.0500000000000003
5,0.86,11,2.0,0.3,6.0,6.0,6.0,0.0,22.600000000000012,1.0500000000000003
5,0.86,12,2.0,0.1,8.0,8.0,8.0,0.0,1.0,1.1099999999999999
5,0.86,12,2.0,0.15,7.0,7.0,7.0,0.0,10.0,1.0799999999999996
5,0.86,12,2.0,0.2,6.0,6.0,6.0,0.0,19.0,1.0500000000000003
5,0.86,12,2.0,0.25,6.0,6.0,6.0,0.0,19.0,1.0500000000000003
5,0.86,12,2.0,0.3,5.0,5.0,5.0,0.0,28.0,1.02
5,0.86,13,2.0,0.1,7.0,7.0,7.0,0.0,6.4,1.0799999999999996
5,0.86,13,2.0,0.15,7.0,7.0,7.0,0.0,6.4,1.0799999999999996
5,0.86,13,2.0,0.2,6.0,6.0,6.0,0.0,15.399999999999995,1.0500000000000003
5,0.86,13,2.0,0.25,5.0,5.0,5.0,0.0,24.39999999999999,1.02
5,0.86,13,2.0,0.3,5.0,5.0,5.0,0.0,24.39999999999999,1.02
5,0.86,14,2.0,0.1,7.0,7.0,7.0,0.0,2.8000000000000087,1.0799999999999996
5,0.86,14,2.0,0.15,6.0,6.0,6.0,0.0,11.800000000000008,1.0500000000000003
5,0.86,14,2.0,0.2,6.0,6.0,6.0,0.0,11.800000000000008,1.0500000000000003
5,0.86,14,2.0,0.25,5.0,5.0,5.0,0.0,20.799999999999997,1.02
5,0.86,14,2.0,0.3,5.0,5.0,5.0,0.0,20.799999999999997,1.02
5,0.86,15,2.0,0.1,6.0,6.0,6.0,0.0,8.199999999999992,1.0500000000000003
5,0.86,15,2.0,0.15,6.0,6.0,6.0,0.0,8.199999999999992,1.0500000000000003
5,0.86,15,2.0,0.2,5.0,5.0,5.0,0.0,17.199999999999992,1.02
5,0.86,15,2.0,0.25,5.0,5.0,5.0,0.0,17.199999999999992,1.02
5,0.86,15,2.0,0.3,5.0,5.0,5.0,0.0,17.199999999999992,1.02
5,0.86,16,2.0,0.1,6.0,6.0,6.0,0.0,4.600000000000003,1.0500000000000003
5,0.86,16,2.0,0.15,5.0,5.0,5.0,0.0,13.600000000000007,1.02
5,0.86,16,2.0,0.2,5.0,5.0,5.0,0.0,13.600000000000007,1.02
5,0.86,16,2.0,0.25,5.0,5.0,5.0,0.0,13.600000000000007,1.02
5,0.86,16,2.0,0.3,5.0,5.0,5.0,0.0,13.600000000000007,1.02
5,0.86,17,2.0,0.1,6.0,6.0,6.0,0.0,1.0,1.0500000000000003
5,0.86,17,2.0,0.15,5.0,5.0,5.0,0.0,10.0,1.02
5,0.86,17,2.0,0.2,5.0,5.0,5.0,0.0,10.0,1.02
5,0.86,17,2.0,0.25,5.0,5.0,5.0,0.0,10.0,1.02
5,0.86,17,2.0,0.3,5.0,5.0,5.0,0.0,10.0,1.02
5,0.87,11,2.0,0.1,8.0,8.0,8.0,0.0,4.600000000000009,1.1099999999999999
5,0.87,11,2.0,0.15,7.0,7.0,7.0,0.0,13.600000000000012,1.0799999999999996
5,0.87,11,2.0,0.2,7.0,7.0,7.0,0.0,13.600000000000012,1.0799999999999996
5,0.87,11,2.0,0.25,6.0,6.0,6.0,0.0,22.600000000000012,1.0500000000000003
5,0.87,11,2.0,0.3,6.0,6.0,6.0,0.0,22.600000000000012,1.0500000000000003
5,0.87,12,2.0,0.1,8.0,8.0,8.0,0.0,1.0,1.1099999999999999
5,0.87,12,2.0,0.15,7.0,7.0,7.0,0.0,10.0,1.0799999999999996
5,0.87,12,2.0,0.2,6.0,6.0,6.0,0.0,19.0,1.0500000000000003
5,0.87,12,2.0,0.25,6.0,6.0,6.0,0.0,19.0,1.0500000000000003
5,0.87,12,2.0,0.3,5.0,5.0,5.0,0.0,28.0,1.02
5,0.87,13,2.0,0.1,7.0,7.0,7.0,0.0,6.4,1.0799999999999996
5,0.87,13,2.0,0.15,7.0,7.0,7.0,0.0,6.4,1.0799999999999996
5,0.87,13,2.0,0.2,6.0,6.0,6.0,0.0,15.399999999999995,1.0500000000000003
5,0.87,13,2.0,0.25,5.0,5.0,5.0,0.0,24.39999999999999,1.02
5,0.87,13,2.0,0.3,5.0,5.0,5.0,0.0,24.39999999999999,1.02
5,0.87,14,2.0,0.1,7.0,7.0,7.0,0.0,2.8000000000000087,1.0799999999999996
5,0.87,14,2.0,0.15,6.0,6.0,6.0,0.0,11.800000000000008,1.0500000000000003
5,0.87,14,2.0,0.2,6.0,6.0,6.0,0.0,11.800000000000008,1.0500000000000003
5,0.87,14,2.0,0.25,5.0,5.0,5.0,0.0,20.799999999999997,1.02
5,0.87,14,2.0,0.3,5.0,5.0,5.0,0.0,20.799999999999997,1.02
5,0.87,15,2.0,0.1,6.0,6.0,6.0,0.0,8.199999999999992,1.0500000000000003
5,0.87,15,2.0,0.15,6.0,6.0,6.0,0.0,8.199999999999992,1.0500000000000003
5,0.87,15,2.0,0.2,5.0,5.0,5.0,0.0,17.199999999999992,1.02
5,0.87,15,2.0,0.25,5.0,5.0,5.0,0.0,17.199999999999992,1.02
5,0.87,15,2.0,0.3,5.0,5.0,5.0,0.0,17.199999999999992,1.02
5,0.87,16,2.0,0.1,6.0,6.0,6.0,0.0,4.600000000000003,1.0500000000000003
5,0.87,16,2.0,0.15,5.0,5.0,5.0,0.0,13.600000000000007,1.02
5,0.87,16,2.0,0.2,5.0,5.0,5.0,0.0,13.600000000000007,1.02
5,0.87,16,2.0,0.25,5.0,5.0,5.0,0.0,13.600000000000007,1.02
5,0.87,16,2.0,0.3,5.0,5.0,5.0,0.0,13.600000000000007,1.02
5,0.87,17,2.0,0.1,6.0,6.0,6.0,0.0,1.0,1.0500000000000003
5,0.87,17,2.0,0.15,5.0,5.0,5.0,0.0,10.0,1.02
5,0.87,17,2.0,0.2,5.0,5.0,5.0,0.0,10.0,1.02
5,0.87,17,2.0,0.25,5.0,5.0,5.0,0.0,10.0,1.02
5,0.87,17,2.0,0.3,5.0,5.0,5.0,0.0,10.0,1.02
5,0.88,11,2.0,0.1,8.0,8.0,8.0,0.0,4.600000000000009,1.1099999999999999
5,0.88,11,2.0,0.15,7.0,7.0,7.0,0.0,13.600000000000012,1.0799999999999996
5,0.88,11,2.0,0.2,7.0,7.0,7.0,0.0,13.600000000000012,1.0799999999999996
5,0.88,11,2.0,0.25,6.0,6.0,6.0,0.0,22.600000000000012,1.0500000000000003
5,0.88,11,2.0,0.3,6.0,6.0,6.0,0.0,22.600000000000012,1.0500000000000003
5,0.88,12,2.0,0.1,8.0,8.0,8.0,0.0,1.0,1.1099999999999999
5,0.88,12,2.0,0.15,7.0,7.0,7.0,0.0,10.0,1.0799999999999996
5,0.88,12,2.0,0.2,6.0,6.0,6.0,0.0,19.0,1.0500000000000003
5,0.88,12,2.0,0.25,6.0,6.0,6.0,0.0,19.0,1.0500000000000003
5,0.88,12,2.0,0.3,5.0,5.0,5.0,0.0,28.0,1.02
5,0.88,13,2.0,0.1,7.0,7.0,7.0,0.0,6.4,1.0799999999999996
5,0.88,13,2.0,0.15,7.0,7.0,7.0,0.0,6.4,1.0799999999999996
5,0.88,13,2.0,0.2,6.0,6.0,6.0,0.0,15.399999999999995,1.0500000000000003
5,0.88,13,2.0,0.25,5.0,5.0,5.0,0.0,24.39999999999999,1.02
5,0.88,13,2.0,0.3,5.0,5.0,5.0,0.0,24.39999999999999,1.02
5,0.88,14,2.0,0.1,7.0,7.0,7.0,0.0,2.8000000000000087,1.0799999999999996
5,0.88,14,2.0,0.15,6.0,6.0,6.0,0.0,11.800000000000008,1.0500000000000003
5,0.88,14,2.0,0.2,6.0,6.0,6.0,0.0,11.800000000000008,1.0500000000000003
5,0.88,14,2.0,0.25,5.0,5.0,5.0,0.0,20.799999999999997,1.02
5,0.88,14,2.0,0.3,5.0,5.0,5.0,0.0,20.799999999999997,1.02
5,0.88,15,2.0,0.1,6.0,6.0,6.0,0.0,8.199999999999992,1.0500000000000003
5,0.88,15,2.0,0.15,6.0,6.0,6.0,0.0,8.199999999999992,1.0500000000000003
5,0.88,15,2.0,0.2,5.0,5.0,5.0,0.0,17.199999999999992,1.02
5,0.88,15,2.0,0.25,5.0,5.0,5.0,0.0,17.199999999999992,1.02
5,0.88,15,2.0,0.3,5.0,5.0,5.0,0.0,17.199999999999992,1.02
5,0.88,16,2.0,0.1,6.0,6.0,6.0,0.0,4.600000000000003,1.0500000000000003
5,0.88,16,2.0,0.15,5.0,5.0,5.0,0.0,13.600000000000007,1.02
5,0.88,16,2.0,0.2,5.0,5.0,5.0,0.0,13.600000000000007,1.02
5,0.88,16,2.0,0.25,5.0,5.0,5.0,0.0,13.600000000000007,1.02
5,0.88,16,2.0,0.3,5.0,5.0,5.0,0.0,13.600000000000007,1.02
5,0.88,17,2.0,0.1,6.0,6.0,6.0,0.0,1.0,1.0500000000000003
5,0.88,17,2.0,0.15,5.0,5.0,5.0,0.0,10.0,1.02
5,0.88,17,2.0,0.2,5.0,5.0,5.0,0.0,10.0,1.02
5,0.88,17,2.0,0.25,5.0,5.0,5.0,0.0,10.0,1.02
5,0.88,17,2.0,0.3,5.0,5.0,5.0,0.0,10.0,1.02
5,0.89,11,2.0,0.1,8.0,8.0,8.0,0.0,4.600000000000009,1.1099999999999999
5,0.89,11,2.0,0.15,7.0,7.0,7.0,0.0,13.600000000000012,1.0799999999999996
5,0.89,11,2.0,0.2,7.0,7.0,7.0,0.0,13.600000000000012,1.0799999999999996
5,0.89,11,2.0,0.25,6.0,6.0,6.0,0.0,22.600000000000012,1.0500000000000003
5,0.89,11,2.0,0.3,6.0,6.0,6.0,0.0,22.600000000000012,1.0500000000000003
5,0.89,12,2.0,0.1,8.0,8.0,8.0,0.0,1.0,1.1099999999999999
5,0.89,12,2.0,0.15,7.0,7.0,7.0,0.0,10.0,1.0799999999999996
5,0.89,12,2.0,0.2,6.0,6.0,6.0,0.0,19.0,1.0500000000000003
5,0.89,12,2.0,0.25,6.0,6.0,6.0,0.0,19.0,1.0500000000000003
5,0.89,12,2.0,0.3,5.0,5.0,5.0,0.0,28.0,1.02
5,0.89,13,2.0,0.1,7.0,7.0,7.0,0.0,6.4,1.0799999999999996
5,0.89,13,2.0,0.15,7.0,7.0,7.0,0.0,6.4,1.0799999999999996
5,0.89,13,2.0,0.2,6.0,6.0,6.0,0.0,15.399999999999995,1.0500000000000003
5,0.89,13,2.0,0.25,5.0,5.0,5.0,0.0,24.39999999999999,1.02
5,0.89,13,2.0,0.3,5.0,5.0,5.0,0.0,24.39999999999999,1.02
5,0.89,14,2.0,0.1,7.0,7.0,7.0,0.0,2.8000000000000087,1.0799999999999996
5,0.89,14,2.0,0.15,6.0,6.0,6.0,0.0,11.800000000000008,1.0500000000000003
5,0.89,14,2.0,0.2,6.0,6.0,6.0,0.0,11.800000000000008,1.0500000000000003
5,0.89,14,2.0,0.25,5.0,5.0,5.0,0.0,20.799999999999997,1.02
5,0.89,14,2.0,0.3,5.0,5.0,5.0,0.0,20.799999999999997,1.02
5,0.89,15,2.0,0.1,6.0,6.0,6.0,0.0,8.199999999999992,1.0500000000000003
5,0.89,15,2.0,0.15,6.0,6.0,6.0,0.0,8.199999999999992,1.0500000000000003
5,0.89,15,2.0,0.2,5.0,5.0,5.0,0.0,17.199999999999992,1.02
5,0.89,15,2.0,0.25,5.0,5.0,5.0,0.0,17.199999999999992,1.02
5,0.89,15,2.0,0.3,5.0,5.0,5.0,0.0,17.199999999999992,1.02
5,0.89,16,2.0,0.1,6.0,6.0,6.0,0.0,4.600000000000003,1.0500000000000003
5,0.89,16,2.0,0.15,5.0,5.0,5.0,0.0,13.600000000000007,1.02
5,0.89,16,2.0,0.2,5.0,5.0,5.0,0.0,13.600000000000007,1.02
5,0.89,16,2.0,0.25,5.0,5.0,5.0,0.0,13.600000000000007,1.02
5,0.89,16,2.0,0.3,5.0,5.0,5.0,0.0,13.600000000000007,1.02
5,0.89,17,2.0,0.1,6.0,6.0,6.0,0.0,1.0,1.0500000000000003
5,0.89,17,2.0,0.15,5.0,5.0,5.0,0.0,10.0,1.02
5,0.89,17,2.0,0.2,5.0,5.0,5.0,0.0,10.0,1.02
5,0.89,17,2.0,0.25,5.0,5.0,5.0,0.0,10.0,1.02
5,0.89,17,2.0,0.3,5.0,5.0,5.0,0.0,10.0,1.02
5,0.9,11,2.0,0.1,8.0,8.0,8.0,0.0,4.600000000000009,1.1099999999999999
5,0.9,11,2.0,0.15,7.0,7.0,7.0,0.0,13.600000000000012,1.0799999999999996
5,0.9,11,2.0,0.2,7.0,7.0,7.0,0.0,13.600000000000012,1.0799999999999996
5,0.9,11,2.0,0.25,6.0,6.0,6.0,0.0,22.600000000000012,1.0500000000000003
5,0.9,11,2.0,0.3,6.0,6.0,6.0,0.0,22.600000000000012,1.0500000000000003
5,0.9,12,2.0,0.1,8.0,8.0,8.0,0.0,1.0,1.1099999999999999
5,0.9,12,2.0,0.15,7.0,7.0,7.0,0.0,10.0,1.0799999999999996
5,0.9,12,2.0,0.2,6.0,6.0,6.0,0.0,19.0,1.0500000000000003
5,0.9,12,2.0,0.25,6.0,6.0,6.0,0.0,19.0,1.0500000000000003
5,0.9,12,2.0,0.3,5.0,5.0,5.0,0.0,28.0,1.02
5,0.9,13,2.0,0.1,7.0,7.0,7.0,0.0,6.4,1.0799999999999996
5,0.9,13,2.0,0.15,7.0,7.0,7.0,0.0,6.4,1.0799999999999996
5,0.9,13,2.0,0.2,6.0,6.0,6.0,0.0,15.399999999999995,1.0500000000000003
5,0.9,13,2.0,0.25,5.0,5.0,5.0,0.0,24.39999999999999,1.02
5,0.9,13,2.0,0.3,5.0,5.0,5.0,0.0,24.39999999999999,1.02
5,0.9,14,2.0,0.1,7.0,7.0,7.0,0.0,2.8000000000000087,1.0799999999999996
5,0.9,14,2.0,0.15,6.0,6.0,6.0,0.0,11.800000000000008,1.0500000000000003
5,0.9,14,2.0,0.2,6.0,6.0,6.0,0.0,11.800000000000008,1.0500000000000003
5,0.9,14,2.0,0.25,5.0,5.0,5.0,0.0,20.799999999999997,1.02
5,0.9,14,2.0,0.3,5.0,5.0,5.0,0.0,20.799999999999997,1.02
5,0.9,15,2.0,0.1,6.0,6.0,6.0,0.0,8.199999999999992,1.0500000000000003
5,0.9,15,2.0,0.15,6.0,6.0,6.0,0.0,8.199999999999992,1.0500000000000003
5,0.9,15,2.0,0.2,5.0,5.0,5.0,0.0,17.199999999999992,1.02
5,0.9,15,2.0,0.25,5.0,5.0,5.0,0.0,17.199999999999992,1.02
5,0.9,15,2.0,0.3,5.0,5.0,5.0,0.0,17.199999999999992,1.02
5,0.9,16,2.0,0.1,6.0,6.0,6.0,0.0,4.600000000000003,1.0500000000000003
5,0.9,16,2.0,0.15,5.0,5.0,5.0,0.0,13.600000000000007,1.02
5,0.9,16,2.0,0.2,5.0,5.0,5.0,0.0,13.600000000000007,1.02
5,0.9,16,2.0,0.25,5.0,5.0,5.0,0.0,13.600000000000007,1.02
5,0.9,16,2.0,0.3,5.0,5.0,5.0,0.0,13.600000000000007,1.02
5,0.9,17,2.0,0.1,6.0,6.0,6.0,0.0,1.0,1.0500000000000003
5,0.9,17,2.0,0.15,5.0,5.0,5.0,0.0,10.0,1.02
5,0.9,17,2.0,0.2,5.0,5.0,5.0,0.0,10.0,1.02
5,0.9,17,2.0,0.25,5.0,5.0,5.0,0.0,10.0,1.02
5,0.9,17,2.0,0.3,5.0,5.0,5.0,0.0,10.0,1.02
5,0.91,11,2.0,0.1,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,11,2.0,0.15,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,11,2.0,0.2,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,11,2.0,0.25,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,11,2.0,0.3,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,12,2.0,0.1,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,12,2.0,0.15,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,12,2.0,0.2,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,12,2.0,0.25,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,12,2.0,0.3,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,13,2.0,0.1,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,13,2.0,0.15,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,13,2.0,0.2,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,13,2.0,0.25,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,13,2.0,0.3,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,14,2.0,0.1,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,14,2.0,0.15,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,14,2.0,0.2,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,14,2.0,0.25,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,14,2.0,0.3,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,15,2.0,0.1,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,15,2.0,0.15,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,15,2.0,0.2,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,15,2.0,0.25,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,15,2.0,0.3,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,16,2.0,0.1,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,16,2.0,0.15,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,16,2.0,0.2,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,16,2.0,0.25,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,16,2.0,0.3,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,17,2.0,0.1,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,17,2.0,0.15,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,17,2.0,0.2,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,17,2.0,0.25,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.91,17,2.0,0.3,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,11,2.0,0.1,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,11,2.0,0.15,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,11,2.0,0.2,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,11,2.0,0.25,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,11,2.0,0.3,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,12,2.0,0.1,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,12,2.0,0.15,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,12,2.0,0.2,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,12,2.0,0.25,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,12,2.0,0.3,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,13,2.0,0.1,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,13,2.0,0.15,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,13,2.0,0.2,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,13,2.0,0.25,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,13,2.0,0.3,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,14,2.0,0.1,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,14,2.0,0.15,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,14,2.0,0.2,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,14,2.0,0.25,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,14,2.0,0.3,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,15,2.0,0.1,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,15,2.0,0.15,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,15,2.0,0.2,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,15,2.0,0.25,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,15,2.0,0.3,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,16,2.0,0.1,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,16,2.0,0.15,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,16,2.0,0.2,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,16,2.0,0.25,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,16,2.0,0.3,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,17,2.0,0.1,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,17,2.0,0.15,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,17,2.0,0.2,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,17,2.0,0.25,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.92,17,2.0,0.3,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,11,2.0,0.1,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,11,2.0,0.15,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,11,2.0,0.2,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,11,2.0,0.25,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,11,2.0,0.3,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,12,2.0,0.1,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,12,2.0,0.15,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,12,2.0,0.2,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,12,2.0,0.25,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,12,2.0,0.3,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,13,2.0,0.1,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,13,2.0,0.15,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,13,2.0,0.2,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,13,2.0,0.25,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,13,2.0,0.3,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,14,2.0,0.1,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,14,2.0,0.15,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,14,2.0,0.2,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,14,2.0,0.25,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,14,2.0,0.3,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,15,2.0,0.1,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,15,2.0,0.15,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,15,2.0,0.2,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,15,2.0,0.25,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,15,2.0,0.3,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
5,0.93,16,2.0,0.1,1.0,1.0,1.0,1.0,100.0,0.8999999999999998
